,batch_id,initial_weight_kg,meat_temp_c,grind_size_mm,water_ratio,fat_ratio,final_weight_kg,yield_loss_ratio
63,64,15.35,-1.9,3,0.12,0.12,13.65,0.111
64,65,14.21,-2.7,3,0.13,0.2,13.48,0.051
65,66,18.14,1.9,5,0.17,0.2,16.73,0.078
66,67,12.11,2.1,5,0.14,0.26,10.66,0.12
67,68,22.03,2.8,5,0.15,0.15,20.08,0.089
68,69,11.12,0.5,5,0.2,0.11,10.42,0.063
69,70,24.8,4.0,3,0.14,0.16,23.22,0.064
70,71,21.58,4.4,8,0.11,0.3,17.98,0.167
71,72,12.98,3.3,5,0.15,0.28,11.59,0.107
72,73,10.08,1.7,3,0.15,0.18,9.08,0.099
73,74,22.23,-1.3,5,0.05,0.28,20.06,0.098
74,75,20.6,4.8,8,0.12,0.11,17.77,0.137
75,76,20.94,-1.5,3,0.16,0.16,19.64,0.062
76,77,21.57,-2.2,3,0.12,0.25,19.04,0.117
77,78,11.11,-0.0,8,0.17,0.14,9.82,0.116
78,79,15.38,-3.5,8,0.12,0.14,14.29,0.071
79,80,11.74,4.8,3,0.2,0.27,10.34,0.119
80,81,22.95,1.3,8,0.09,0.22,21.42,0.067
81,82,19.35,1.0,5,0.06,0.3,16.76,0.134
82,83,14.96,1.9,8,0.11,0.13,13.92,0.07
83,84,10.95,0.5,8,0.13,0.17,10.0,0.087
84,85,14.66,-3.7,3,0.1,0.16,13.87,0.054
85,86,14.88,1.5,8,0.09,0.28,13.58,0.087
86,87,20.94,2.4,3,0.15,0.15,18.63,0.11
87,88,19.56,-0.2,5,0.11,0.17,17.08,0.127
88,89,23.31,2.8,8,0.14,0.13,19.64,0.157
89,90,17.08,-2.0,8,0.17,0.26,15.84,0.073
90,91,11.79,-2.0,3,0.16,0.15,10.89,0.076
91,92,20.7,-2.5,3,0.11,0.11,19.37,0.064
92,93,21.41,-0.7,8,0.14,0.19,19.06,0.11
93,94,18.42,3.6,3,0.12,0.18,16.65,0.096
94,95,21.56,3.5,8,0.18,0.14,19.75,0.084
95,96,17.41,-0.6,5,0.18,0.13,15.7,0.098
96,97,17.84,1.3,8,0.1,0.28,14.5,0.187
97,98,16.41,2.5,5,0.06,0.11,14.27,0.13
98,99,10.38,-1.8,5,0.08,0.12,8.82,0.15
99,100,11.62,-2.5,3,0.11,0.15,10.44,0.102
100,101,10.47,4.7,3,0.13,0.29,9.95,0.05
101,102,19.55,1.6,3,0.15,0.12,17.17,0.122
102,103,14.72,4.8,3,0.1,0.26,13.43,0.088
103,104,17.63,-1.0,8,0.15,0.28,15.1,0.144
104,105,23.61,2.3,5,0.19,0.18,20.36,0.138
105,106,13.74,-2.0,8,0.15,0.16,12.04,0.124
106,107,16.16,-1.6,5,0.07,0.24,15.11,0.065
107,108,21.33,0.6,5,0.14,0.24,18.33,0.141
108,109,13.43,-1.1,5,0.13,0.26,11.52,0.142
109,110,11.15,-2.5,8,0.18,0.27,9.34,0.162
110,111,14.35,-1.6,3,0.1,0.15,12.65,0.118
111,112,12.42,-3.7,8,0.11,0.24,10.38,0.164
112,113,23.95,2.3,5,0.14,0.13,21.33,0.109
113,114,22.12,0.4,8,0.13,0.2,20.1,0.091
114,115,19.5,-3.2,5,0.16,0.22,18.3,0.062
115,116,23.07,-2.5,3,0.06,0.13,20.75,0.101
116,117,22.06,-3.1,3,0.13,0.12,19.52,0.115
117,118,12.8,1.5,8,0.07,0.14,11.37,0.112
118,119,23.39,-3.2,3,0.1,0.18,21.28,0.09
119,120,18.09,2.8,5,0.15,0.28,15.29,0.155
120,121,22.11,-3.8,5,0.07,0.21,19.91,0.1
121,122,23.44,-1.8,3,0.1,0.25,21.32,0.09
122,123,14.77,4.0,3,0.16,0.13,13.64,0.077
123,124,11.65,2.5,3,0.15,0.12,10.79,0.074
124,125,13.42,-3.3,8,0.06,0.15,11.74,0.125
125,126,16.41,3.4,8,0.14,0.16,14.47,0.118
126,127,22.27,0.4,5,0.07,0.21,20.5,0.079
127,128,22.91,3.6,8,0.09,0.28,19.75,0.138
128,129,10.1,1.4,8,0.12,0.19,9.23,0.086
129,130,17.66,2.1,5,0.07,0.2,16.06,0.091
130,131,16.26,4.9,5,0.2,0.1,14.61,0.101
131,132,13.33,-1.9,3,0.07,0.11,12.26,0.08
132,133,11.8,1.6,3,0.17,0.12,11.05,0.064
133,134,15.06,0.1,8,0.17,0.24,12.6,0.163
134,135,24.14,-3.6,5,0.2,0.2,20.8,0.138
135,136,14.85,-3.9,8,0.11,0.14,12.97,0.127
136,137,17.78,-2.9,8,0.18,0.22,14.61,0.178
137,138,20.55,1.8,5,0.19,0.21,17.96,0.126
138,139,15.45,1.1,5,0.08,0.12,14.21,0.08
139,140,24.58,1.0,5,0.12,0.23,21.87,0.11
140,141,24.44,-3.7,5,0.06,0.25,22.92,0.062
141,142,13.78,0.2,8,0.14,0.16,12.72,0.077
142,143,17.46,4.3,8,0.14,0.24,16.14,0.076
143,144,14.51,-0.4,8,0.08,0.14,13.42,0.075
144,145,14.27,1.6,5,0.17,0.25,12.2,0.145
145,146,10.55,3.0,3,0.06,0.28,9.51,0.099
146,147,19.14,3.1,8,0.17,0.19,17.07,0.108
147,148,17.54,0.7,3,0.05,0.15,15.64,0.108
148,149,10.77,3.7,3,0.15,0.18,10.18,0.055
149,150,14.18,-0.5,3,0.06,0.15,13.41,0.054
150,151,23.62,4.0,5,0.09,0.1,21.0,0.111
151,152,13.59,-1.8,5,0.16,0.23,11.96,0.12
152,153,12.17,-1.5,8,0.09,0.11,11.19,0.081
153,154,17.34,-3.5,8,0.13,0.14,14.55,0.161
154,155,24.78,3.2,5,0.19,0.24,22.7,0.084
155,156,13.63,-0.2,5,0.06,0.23,11.9,0.127
156,157,20.08,-1.9,3,0.17,0.11,18.66,0.071
157,158,21.42,-1.9,5,0.06,0.23,19.22,0.103
158,159,13.56,4.1,5,0.07,0.29,11.67,0.139
159,160,20.92,3.5,5,0.07,0.11,19.0,0.092
160,161,15.52,1.0,5,0.2,0.18,14.43,0.07
161,162,19.48,1.5,3,0.08,0.25,17.46,0.104
162,163,19.5,0.3,8,0.18,0.23,16.84,0.136
163,164,18.04,-0.5,3,0.2,0.15,16.93,0.062
164,165,11.35,4.2,5,0.11,0.13,10.68,0.059
165,166,22.53,-2.9,5,0.14,0.26,20.03,0.111
166,167,14.81,-0.2,8,0.17,0.29,12.87,0.131
167,168,12.8,-0.9,8,0.11,0.25,11.03,0.138
168,169,10.61,0.5,8,0.07,0.29,9.34,0.12
169,170,18.86,0.1,3,0.12,0.22,16.53,0.124
170,171,20.16,0.7,8,0.17,0.29,17.59,0.127
171,172,10.25,-2.7,5,0.17,0.24,9.04,0.118
172,173,17.68,0.6,5,0.08,0.28,16.0,0.095
173,174,13.4,-1.8,5,0.08,0.13,12.44,0.072
174,175,19.68,-2.3,3,0.19,0.26,17.77,0.097
175,176,12.62,-3.4,8,0.06,0.14,10.75,0.148
176,177,20.36,2.9,8,0.16,0.11,19.1,0.062
177,178,15.8,-0.2,8,0.06,0.2,12.99,0.178
178,179,24.05,1.6,8,0.18,0.16,21.74,0.096
179,180,12.06,2.5,5,0.19,0.11,11.36,0.058
180,181,15.12,2.1,3,0.09,0.3,13.82,0.086
181,182,11.7,0.2,8,0.06,0.23,9.58,0.181
182,183,23.87,-0.5,5,0.12,0.28,22.26,0.067
183,184,23.16,-0.6,5,0.09,0.3,19.24,0.169
184,185,13.87,1.8,3,0.11,0.18,12.17,0.123
185,186,19.9,0.5,8,0.15,0.15,17.54,0.119
186,187,22.26,3.6,3,0.08,0.14,20.05,0.099
187,188,18.33,3.9,8,0.1,0.2,16.98,0.074
188,189,17.94,-2.5,3,0.17,0.22,15.93,0.112
189,190,13.63,-2.8,8,0.15,0.19,12.29,0.098
190,191,11.4,1.7,8,0.1,0.18,9.93,0.129
191,192,23.46,-1.3,3,0.15,0.13,21.53,0.082
192,193,23.51,-3.8,8,0.16,0.19,20.47,0.129
193,194,19.5,4.0,3,0.14,0.12,18.05,0.074
194,195,15.09,-2.0,3,0.09,0.27,13.85,0.082
195,196,15.24,4.4,8,0.05,0.11,12.99,0.148
196,197,20.89,2.5,8,0.17,0.18,19.44,0.069
197,198,23.46,2.9,3,0.17,0.12,21.36,0.09
198,199,23.31,-2.2,5,0.15,0.25,20.41,0.124
199,200,21.7,-1.9,3,0.06,0.16,20.09,0.074
200,201,19.63,0.7,5,0.14,0.12,16.95,0.137
201,202,11.26,-2.5,5,0.17,0.21,10.17,0.097
202,203,12.42,-1.3,3,0.11,0.28,11.5,0.074
203,204,23.48,-1.1,3,0.08,0.28,21.39,0.089
204,205,19.1,-2.6,3,0.14,0.15,17.55,0.081
205,206,10.14,-2.2,5,0.17,0.24,9.43,0.07
206,207,11.52,3.1,3,0.06,0.11,10.65,0.076
207,208,19.95,-2.5,3,0.14,0.13,18.19,0.088
208,209,10.08,-3.7,8,0.15,0.2,9.25,0.082
209,210,12.41,1.7,8,0.14,0.15,11.03,0.111
210,211,18.23,4.8,8,0.15,0.26,17.15,0.059
211,212,20.38,-1.0,3,0.14,0.29,17.76,0.129
212,213,19.78,-2.9,3,0.07,0.1,18.19,0.08
213,214,13.36,1.1,3,0.09,0.15,11.64,0.129
214,215,20.68,4.2,5,0.14,0.19,19.58,0.053
215,216,13.56,3.1,5,0.05,0.21,11.65,0.141
216,217,14.88,1.6,8,0.15,0.28,12.42,0.165
217,218,21.2,-1.2,5,0.15,0.28,18.13,0.145
218,219,19.74,0.9,5,0.09,0.23,17.59,0.109
219,220,22.74,-3.2,5,0.14,0.15,21.08,0.073
220,221,19.86,2.1,8,0.13,0.26,18.62,0.062
221,222,18.52,2.5,8,0.09,0.14,16.48,0.11
222,223,11.41,4.7,5,0.12,0.29,10.4,0.089
223,224,15.52,-1.7,3,0.19,0.1,14.03,0.096
224,225,13.98,-3.8,8,0.11,0.21,11.88,0.15
225,226,13.66,0.9,5,0.14,0.12,12.41,0.092
226,227,24.6,2.4,3,0.06,0.18,23.05,0.063
227,228,15.9,3.1,3,0.06,0.23,15.12,0.049
228,229,23.38,-2.3,8,0.06,0.24,20.64,0.117
229,230,19.47,-1.6,3,0.17,0.26,17.96,0.078
230,231,21.92,0.6,8,0.1,0.22,19.55,0.108
231,232,17.54,-1.0,5,0.08,0.15,15.37,0.124
232,233,18.65,3.7,8,0.16,0.28,16.14,0.135
233,234,17.39,0.3,3,0.08,0.26,16.46,0.053
234,235,12.93,3.2,8,0.09,0.13,11.66,0.098
235,236,20.84,1.2,8,0.11,0.27,19.24,0.077
236,237,14.21,3.0,5,0.1,0.29,12.51,0.12
237,238,10.36,-1.0,3,0.14,0.23,9.66,0.068
238,239,19.68,3.5,8,0.1,0.16,16.92,0.14
239,240,12.66,-1.5,5,0.11,0.22,11.36,0.103
240,241,24.11,0.9,5,0.18,0.17,21.79,0.096
241,242,24.31,-2.1,5,0.18,0.24,20.47,0.158
242,243,23.72,0.3,5,0.17,0.21,20.26,0.146
243,244,15.55,-1.1,5,0.18,0.29,13.38,0.14
244,245,10.23,-1.6,8,0.14,0.22,9.13,0.108
245,246,23.92,4.7,8,0.15,0.14,22.3,0.068
246,247,16.42,-2.6,3,0.13,0.25,14.21,0.135
247,248,24.5,3.1,8,0.17,0.16,22.38,0.087
248,249,24.45,4.9,3,0.13,0.15,22.82,0.067
249,250,22.8,-3.8,3,0.07,0.18,19.36,0.151
250,251,14.42,2.3,3,0.17,0.1,13.01,0.098
251,252,15.78,-1.7,8,0.16,0.29,12.95,0.179
252,253,22.77,-3.6,5,0.17,0.21,19.34,0.151
253,254,14.75,-0.4,3,0.08,0.25,13.45,0.088
254,255,12.54,4.4,5,0.09,0.15,11.41,0.09
255,256,18.35,-3.9,3,0.09,0.25,15.38,0.162
256,257,24.04,1.3,8,0.13,0.21,20.71,0.139
257,258,20.44,0.5,3,0.07,0.18,19.23,0.059
258,259,18.55,3.9,8,0.11,0.29,15.19,0.181
259,260,11.46,-3.2,5,0.08,0.2,10.5,0.084
260,261,19.23,2.1,8,0.09,0.23,16.17,0.159
261,262,24.85,2.1,5,0.16,0.1,21.72,0.126
262,263,12.1,2.0,8,0.18,0.16,10.36,0.144
263,264,17.77,4.5,3,0.05,0.28,15.77,0.113
264,265,23.16,3.4,3,0.13,0.25,21.54,0.07
265,266,21.11,-3.6,8,0.06,0.21,17.22,0.184
266,267,20.46,0.2,5,0.06,0.28,18.58,0.092
267,268,20.54,-0.4,5,0.16,0.2,19.43,0.054
268,269,15.39,-1.2,5,0.16,0.21,13.28,0.137
269,270,14.4,0.1,8,0.17,0.18,13.45,0.066
270,271,22.14,-0.5,8,0.12,0.22,19.2,0.133
271,272,22.15,-0.1,8,0.18,0.16,19.44,0.122
272,273,23.01,4.8,8,0.08,0.18,19.63,0.147
273,274,23.7,-3.2,5,0.09,0.29,21.85,0.078
274,275,17.67,4.3,5,0.07,0.12,16.34,0.075
275,276,17.52,0.3,8,0.17,0.12,15.38,0.122
276,277,21.97,1.6,8,0.08,0.11,20.66,0.06
277,278,19.75,3.5,5,0.07,0.16,17.09,0.135
278,279,20.53,-0.8,5,0.14,0.18,17.49,0.148
279,280,21.94,-0.1,3,0.06,0.12,20.17,0.081
280,281,23.35,-0.3,8,0.06,0.21,20.02,0.143
281,282,15.07,-0.6,3,0.07,0.22,13.23,0.122
282,283,15.63,4.3,5,0.05,0.25,14.1,0.098
283,284,11.41,3.5,5,0.15,0.3,9.95,0.128
284,285,18.67,-3.0,8,0.13,0.22,15.49,0.17
285,286,10.54,-3.0,3,0.08,0.12,9.8,0.07
286,287,16.98,-0.1,5,0.08,0.12,15.92,0.062
287,288,18.14,-3.1,3,0.17,0.26,16.31,0.101
288,289,14.3,1.6,3,0.13,0.23,13.43,0.061
289,290,18.86,-2.7,3,0.15,0.13,17.88,0.052
290,291,10.46,0.7,3,0.12,0.15,9.48,0.094
291,292,10.56,-3.9,3,0.09,0.25,9.96,0.057
292,293,22.34,-1.2,8,0.2,0.21,18.84,0.157
293,294,15.4,2.1,8,0.13,0.22,13.69,0.111
294,295,11.91,0.4,3,0.07,0.14,10.38,0.128
295,296,17.83,4.8,8,0.11,0.23,15.7,0.119
296,297,21.55,3.9,5,0.1,0.25,18.64,0.135
297,298,13.24,-0.8,3,0.08,0.28,12.48,0.057
298,299,19.34,-3.6,8,0.19,0.25,17.69,0.085
299,300,11.28,3.6,8,0.18,0.22,10.12,0.103
300,301,10.78,4.2,5,0.08,0.23,9.31,0.136
301,302,17.97,3.4,5,0.1,0.2,15.9,0.115
302,303,18.11,-2.8,5,0.16,0.15,15.85,0.125
303,304,19.56,5.0,5,0.08,0.28,17.66,0.097
304,305,20.89,-1.7,3,0.14,0.21,18.54,0.112
305,306,24.64,2.5,8,0.15,0.22,20.78,0.157
306,307,17.74,4.2,8,0.15,0.3,15.27,0.139
307,308,14.84,-1.9,5,0.16,0.3,13.13,0.115
308,309,21.93,4.2,8,0.16,0.22,18.81,0.142
309,310,14.06,-1.2,8,0.19,0.11,12.68,0.098
310,311,16.58,4.8,8,0.1,0.18,15.07,0.091
311,312,11.18,-1.5,5,0.18,0.29,10.37,0.072
312,313,10.38,4.6,8,0.05,0.16,9.06,0.127
313,314,24.44,-3.5,8,0.09,0.3,20.19,0.174
314,315,22.54,2.4,8,0.06,0.12,18.97,0.158
315,316,20.44,0.8,3,0.15,0.21,19.4,0.051
316,317,16.13,0.3,3,0.07,0.2,14.61,0.094
317,318,12.6,-2.0,8,0.18,0.15,11.69,0.072
318,319,12.35,2.4,8,0.15,0.29,11.49,0.07
319,320,13.75,-2.3,8,0.05,0.22,12.23,0.111
320,321,18.24,1.0,8,0.16,0.15,15.26,0.163
321,322,20.72,-1.7,8,0.18,0.18,19.49,0.059
322,323,19.9,4.6,8,0.15,0.24,17.74,0.109
323,324,14.2,-3.7,3,0.05,0.16,12.84,0.096
324,325,24.32,-2.2,5,0.18,0.28,21.94,0.098
325,326,21.07,-1.8,8,0.16,0.13,19.43,0.078
326,327,18.32,-0.3,8,0.11,0.15,15.17,0.172
327,328,19.18,-1.9,8,0.1,0.13,17.85,0.069
328,329,16.29,0.4,5,0.12,0.12,15.26,0.063
329,330,13.72,3.9,8,0.18,0.16,11.65,0.151
330,331,15.34,2.4,8,0.09,0.3,12.5,0.185
331,332,21.37,1.2,5,0.07,0.12,18.51,0.134
332,333,10.22,-3.2,8,0.18,0.14,8.61,0.158
333,334,11.74,2.2,5,0.05,0.15,10.1,0.14
334,335,10.69,-2.5,5,0.19,0.22,9.17,0.142
335,336,10.61,3.1,8,0.1,0.25,9.23,0.13
336,337,22.83,-1.7,3,0.13,0.25,21.15,0.074
337,338,20.55,-0.2,3,0.07,0.1,18.17,0.116
338,339,17.11,-0.8,8,0.19,0.23,15.72,0.081
339,340,11.47,3.7,5,0.16,0.23,10.53,0.082
340,341,17.37,-2.9,5,0.19,0.2,15.82,0.089
341,342,17.1,1.1,5,0.15,0.18,16.05,0.061
342,343,12.6,-2.7,8,0.08,0.26,11.17,0.113
343,344,16.51,2.3,3,0.1,0.17,14.67,0.111
344,345,15.98,4.1,5,0.12,0.15,14.93,0.066
345,346,19.24,-0.1,5,0.14,0.16,16.44,0.146
346,347,19.53,0.4,8,0.19,0.19,18.28,0.064
347,348,10.68,4.3,3,0.11,0.14,9.45,0.115
348,349,15.62,0.7,3,0.16,0.22,13.84,0.114
349,350,19.39,0.4,8,0.19,0.28,17.29,0.108
350,351,17.55,1.2,3,0.07,0.22,15.62,0.11
351,352,22.85,2.2,8,0.18,0.19,19.57,0.144
352,353,19.88,-3.0,5,0.11,0.26,18.55,0.067
353,354,12.44,3.4,8,0.16,0.25,10.45,0.16
354,355,11.06,-0.1,5,0.09,0.17,9.82,0.112
355,356,19.64,-3.3,8,0.1,0.22,17.3,0.119
356,357,10.4,3.1,5,0.05,0.25,9.14,0.121
357,358,18.79,-0.6,5,0.2,0.15,16.24,0.136
358,359,24.1,-3.1,8,0.17,0.17,20.54,0.148
359,360,18.63,1.7,5,0.06,0.12,16.66,0.106
360,361,15.82,3.9,3,0.2,0.3,15.03,0.05
361,362,19.65,4.0,8,0.14,0.12,18.09,0.079
362,363,16.87,4.6,3,0.18,0.13,15.28,0.094
363,364,18.18,3.8,5,0.06,0.2,16.15,0.112
364,365,24.12,-4.0,5,0.11,0.27,20.56,0.148
365,366,15.79,-0.6,5,0.15,0.17,13.98,0.115
366,367,24.42,3.4,8,0.07,0.25,22.17,0.092
367,368,23.58,-0.7,5,0.12,0.24,21.4,0.092
368,369,12.94,1.4,3,0.12,0.23,11.74,0.093
369,370,11.04,1.5,3,0.08,0.27,9.86,0.107
370,371,11.51,-0.7,8,0.1,0.1,10.35,0.101
371,372,10.27,4.1,3,0.2,0.29,9.4,0.085
372,373,11.42,0.5,8,0.09,0.27,9.3,0.186
373,374,20.25,0.2,8,0.08,0.29,18.92,0.066
374,375,11.07,5.0,5,0.13,0.26,9.71,0.123
375,376,14.78,0.4,3,0.15,0.28,13.55,0.083
376,377,22.67,-2.4,3,0.16,0.14,20.14,0.112
377,378,10.35,0.6,3,0.16,0.16,9.89,0.044
378,379,22.22,3.3,5,0.06,0.16,20.31,0.086
379,380,14.23,3.0,8,0.11,0.12,12.15,0.146
380,381,11.77,3.1,3,0.17,0.25,10.83,0.08
381,382,20.45,2.4,3,0.19,0.13,19.5,0.046
382,383,19.43,-1.7,3,0.14,0.11,17.31,0.109
383,384,23.16,3.8,3,0.06,0.26,19.95,0.139
384,385,21.03,4.0,5,0.11,0.28,19.89,0.054
385,386,22.05,-2.3,8,0.06,0.25,20.59,0.066
386,387,14.23,-2.8,3,0.16,0.27,12.76,0.103
387,388,12.66,4.8,3,0.06,0.22,11.87,0.062
388,389,21.26,3.8,8,0.08,0.28,18.83,0.114
389,390,22.1,4.0,5,0.11,0.2,19.0,0.14
390,391,24.86,4.0,5,0.12,0.3,21.97,0.116
391,392,16.19,0.9,5,0.11,0.12,13.94,0.139
392,393,15.58,1.8,5,0.12,0.26,13.51,0.133
393,394,21.65,0.9,3,0.16,0.23,19.16,0.115
394,395,15.11,-3.5,8,0.11,0.22,12.52,0.171
395,396,23.96,2.7,8,0.13,0.25,21.97,0.083
396,397,22.88,0.5,8,0.1,0.27,19.27,0.158
397,398,16.43,1.8,5,0.1,0.27,14.04,0.145
398,399,21.26,0.5,5,0.14,0.14,18.45,0.132
399,400,21.32,0.4,8,0.12,0.14,20.09,0.058
400,401,11.55,-2.5,3,0.16,0.1,10.23,0.114
401,402,23.54,-1.5,5,0.13,0.13,21.83,0.073
402,403,17.58,-2.6,3,0.17,0.15,15.69,0.108
403,404,22.4,-2.2,8,0.12,0.24,19.6,0.125
404,405,14.8,4.8,5,0.12,0.2,13.98,0.055
405,406,23.43,-2.6,3,0.15,0.25,21.69,0.074
406,407,15.84,-1.6,5,0.08,0.2,14.79,0.066
407,408,10.16,1.3,8,0.11,0.21,8.6,0.154
408,409,23.58,1.5,8,0.14,0.12,20.17,0.145
409,410,11.37,-2.6,8,0.05,0.26,10.38,0.087
410,411,14.79,3.1,3,0.12,0.25,13.98,0.055
411,412,24.25,3.1,5,0.14,0.16,21.22,0.125
412,413,24.26,-1.9,5,0.2,0.17,21.66,0.107
413,414,18.6,-1.4,5,0.18,0.14,17.28,0.071
414,415,19.48,4.4,8,0.09,0.26,16.2,0.168
415,416,16.73,3.4,3,0.13,0.25,14.69,0.122
416,417,14.4,2.3,8,0.06,0.22,12.19,0.153
417,418,14.93,-3.3,8,0.09,0.15,12.21,0.182
418,419,20.09,-0.2,3,0.17,0.13,18.37,0.086
419,420,21.29,1.0,8,0.07,0.11,17.77,0.165
420,421,21.87,-2.3,8,0.09,0.11,19.34,0.116
421,422,21.84,0.0,5,0.19,0.14,19.04,0.128
422,423,11.37,1.4,3,0.17,0.12,10.04,0.117
423,424,17.42,-1.1,3,0.17,0.21,15.42,0.115
424,425,10.86,3.0,5,0.18,0.17,9.67,0.11
425,426,18.24,3.6,3,0.16,0.19,16.69,0.085
426,427,16.62,-1.1,5,0.07,0.22,15.32,0.078
427,428,23.32,3.5,8,0.13,0.23,19.73,0.154
428,429,15.26,-3.1,3,0.12,0.23,13.4,0.122
429,430,11.76,3.5,3,0.1,0.15,11.07,0.059
430,431,12.14,-2.6,8,0.18,0.26,10.62,0.125
431,432,21.42,-3.3,8,0.12,0.28,19.46,0.092
432,433,19.27,1.8,3,0.06,0.16,16.92,0.122
433,434,11.52,0.2,3,0.09,0.1,10.86,0.057
434,435,11.26,4.2,3,0.08,0.28,9.71,0.138
435,436,20.51,-0.7,5,0.18,0.28,17.53,0.145
436,437,11.09,-1.4,3,0.15,0.11,9.93,0.105
437,438,22.33,0.5,3,0.13,0.1,21.03,0.058
438,439,20.59,0.1,8,0.13,0.26,17.05,0.172
439,440,11.22,-0.9,8,0.15,0.16,10.08,0.102
440,441,11.27,2.2,5,0.16,0.28,9.79,0.131
441,442,24.8,2.8,8,0.13,0.14,20.85,0.159
442,443,15.61,3.7,3,0.19,0.27,14.7,0.058
443,444,15.56,4.8,3,0.2,0.11,14.28,0.082
444,445,22.19,-1.6,5,0.2,0.15,19.9,0.103
445,446,24.21,2.4,8,0.15,0.29,20.5,0.153
446,447,24.79,-0.5,8,0.19,0.15,22.47,0.094
447,448,21.3,2.1,8,0.11,0.13,19.47,0.086
448,449,15.64,0.3,5,0.18,0.27,14.53,0.071
449,450,11.25,4.9,8,0.19,0.12,9.62,0.145
450,451,21.66,2.6,8,0.19,0.12,19.13,0.117
451,452,18.38,4.6,8,0.17,0.16,16.96,0.077
452,453,16.36,3.5,3,0.11,0.23,15.61,0.046
453,454,23.6,4.1,5,0.07,0.24,20.01,0.152
454,455,11.67,3.3,3,0.1,0.28,10.57,0.094
455,456,17.39,0.1,5,0.17,0.21,15.79,0.092
